Year,Unit,Treatment,Block,TreatmentUnit,TreatmentType,TreatmentUnitType,Plot,Subplot,CWD_piece,Sp,Decay,Diam1m,Diam2m,large_diam,small_diam,Elev1,Elev2,high_elev,low_elev,Lngth2bndry1,Lngth2bndry2,LngthInPlot,Lngth2end,Bark,Growth
2018,B2-4-M,heavy,subhygric mature,B2,B2-4,B2 M,4,M,8,Hw,1,0.163,0.022,0.163,0.022,0,24,24,0,1.4,12.8,11.4,15,2,2
2018,A3-2,clearcut,subhygric mature,A3,A3-2,A3,2,,32,Ep,4,0.295,0.245,0.295,0.245,0,0,0,0,2.1,0,2.1,6.1,1,3
2018,A1-0,clearcut,submesic mature,A1,A1-0,A1,0,,34,U,4,0.062,0.108,0.108,0.062,0,0,0,0,3.2,0,3.2,3.7,0,3
2018,C3-2,light,subhygric mature,C3,C3-2,C3,2,,5,U,3,0.107,0.06,0.107,0.06,0,16,16,0,2.8,0,2.8,6,0,3
2018,A3-0,clearcut,subhygric mature,A3,A3-0,A3,0,,22,Ep,4,0.147,0.165,0.165,0.147,0,0,0,0,6.4,0,6.4,9.9,3,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,19,U,4,0.105,0.195,0.195,0.105,0,0,0,0,0,0,1.3,1.3,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,10,U,4,0.101,0.122,0.122,0.101,0,0,0,0,0,0,4.8,4.8,0,3
2018,A4-0,noharvest,subhygric mature,A4,A4-0,A4,0,,7,Hw,4,0.184,0.171,0.184,0.171,0,0,0,0,0,0,5,5,1,3
2018,B1-3,noharvest,submesic mature,B1,B1-3,B1,3,,17,U,4,0.189,0.218,0.218,0.189,0,0,0,0,0,0,3.8,3.8,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,2,U,3,0.14,0.23,0.23,0.14,0,0,0,0,2.2,0,2.2,5.9,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,22,U,4,0.163,0.212,0.212,0.163,26,0,26,0,0,0,2.7,2.7,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,14,U,1,0.126,0.183,0.183,0.126,0,0,0,0,0,0,4.9,4.9,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,8,U,4,0.172,0.124,0.172,0.124,0,0,0,0,0,0,5.4,5.4,0,3
2018,B1-3,noharvest,submesic mature,B1,B1-3,B1,3,,6,Cw,1,0.01,0.202,0.202,0.01,30,0,30,0,0.5,8.4,7.9,17.5,3,0
2018,B5-2,light,mesic mature,B5,B5-2,B5,2,,1,U,3,0.149,0.202,0.202,0.149,0,0,0,0,0,0,1.4,1.4,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,27,U,4,0.384,0.35,0.384,0.35,0,0,0,0,1.7,0,1.7,1.9,0,3
2018,B2-2-O,heavy,subhygric mature,B2,B2-2,B2 O,2,O,19,Hw,3,0.52,0.02,0.52,0.02,30,0,30,0,1.2,0,1.2,45,1,2
2018,B1-2,noharvest,submesic mature,B1,B1-2,B1,2,,14,Hw,3,0.232,0.05,0.232,0.05,15,0,15,0,5.8,0,5.8,19.5,2,2
2018,B2-1-O,heavy,subhygric mature,B2,B2-1,B2 O,1,O,1,Hw,1,0.175,0.042,0.175,0.042,17,5,17,5,0.3,10.5,10.2,15.3,3,1
2018,B5-0,light,mesic mature,B5,B5-0,B5,0,,4,U,3,0.14,0.119,0.14,0.119,8,0,8,0,0,0,2.7,2.7,0,0
2018,B2-4-O,heavy,subhygric mature,B2,B2-4,B2 O,4,O,3,Hw,3,0.172,0.245,0.245,0.172,0,0,0,0,3.7,0,3.7,3.8,3,3
2018,A4-1,noharvest,subhygric mature,A4,A4-1,A4,1,,6,U,4,0.194,0.138,0.194,0.138,0,0,0,0,0,0,5.9,5.9,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,24,U,4,0.43,0.44,0.44,0.43,0,0,0,0,1.7,0,1.7,10,0,3
2018,A1-1,clearcut,submesic mature,A1,A1-1,A1,1,,33,U,3,0.165,0.145,0.165,0.145,0,10,10,0,0.4,0,0.4,3,0,1
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,18,U,4,0.26,0.37,0.37,0.26,0,0,0,0,3.6,0,3.6,4.6,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,28,Hw,4,0.472,0.49,0.49,0.472,0,0,0,0,2.3,0,2.3,5.2,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,12,Hw,4,0.466,0.142,0.466,0.142,0,0,0,0,0,0,5.7,5.7,1,3
2018,C1-1,noharvest,mesic mature,C1,C1-1,C1,1,,25,U,4,0.185,0.01,0.185,0.01,0,0,0,0,8.3,18.2,9.9,20.2,0,3
2018,B3-4-M,heavy,submesic mature,B3,B3-4,B3 M,4,M,3,U,4,0.105,0.228,0.228,0.105,0,0,0,0,5.4,0,5.4,17,0,3
2018,D4-4-O,heavy,mesic oldgrowth,D4,D4-4,D4 O,4,O,4,Hw,4,0.7,0.9,0.9,0.7,0,0,0,0,2,0,2,23,2,3
2018,A1-0,clearcut,submesic mature,A1,A1-0,A1,0,,35,U,4,0.17,0.15,0.17,0.15,0,0,0,0,4.8,0,4.8,7.6,0,3
2018,C1-0,noharvest,mesic mature,C1,C1-0,C1,0,,6,Hw,3,0.25,0.145,0.25,0.145,0,0,0,0,11,15.1,4.1,15.8,1,3
2018,C1-2,noharvest,mesic mature,C1,C1-2,C1,2,,16,Hw,4,0.148,0.19,0.19,0.148,0,0,0,0,0,0,6,6,0,3
2018,B2-2-M,heavy,subhygric mature,B2,B2-2,B2 M,2,M,8,Hw,1,0.217,0.01,0.217,0.01,3,65,65,3,7.4,0,7.4,20.2,3,1
2018,B4-4,clearcut,mesic mature,B4,B4-4,B4,4,,18,U,3,0.294,0.284,0.294,0.284,0,14,14,0,2.1,0,2.1,2.7,0,2
2018,B3-1-O,heavy,submesic mature,B3,B3-1,B3 O,1,O,4,U,3,0.034,0.1,0.1,0.034,0,0,0,0,3,5,2,6,0,1
2018,B1-3,noharvest,submesic mature,B1,B1-3,B1,3,,4,Sx,2,0.419,0.245,0.419,0.245,0,0,0,0,1.5,0,1.5,22,2,0
2018,C1-2,noharvest,mesic mature,C1,C1-2,C1,2,,10,Sx,3,0.345,0.3,0.345,0.3,0,0,0,0,1.7,0,1.7,13.5,0,2
2018,D5-0,light,mesic oldgrowth,D5,D5-0,D5,0,,3,U,3,0.203,0.152,0.203,0.152,0,0,0,0,0,0,1.2,1.2,0,3
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,8,U,3,0.186,0.184,0.186,0.184,48,0,48,0,0,0,1.4,1.4,0,2
2018,D5-0,light,mesic oldgrowth,D5,D5-0,D5,0,,4,Hw,2,0.37,0.425,0.425,0.37,0,0,0,0,0.7,0,0.7,5,3,3
2018,C2-2-M,heavy,mesic mature,C2,C2-2,C2 M,2,M,14,Hw,3,0.15,0.23,0.23,0.15,20,10,20,10,4.8,0,4.8,14.9,2,2
2018,B4-4,clearcut,mesic mature,B4,B4-4,B4,4,,17,U,3,0.3,0.26,0.3,0.26,0,0,0,0,0,0,2.3,2.3,0,2
2018,A4-4,noharvest,subhygric mature,A4,A4-4,A4,4,,8,Hw,3,0.132,0.31,0.31,0.132,71,60,71,60,1.7,4.9,3.2,15,2,3
2018,C2-4-O,heavy,mesic mature,C2,C2-4,C2 O,4,O,21,U,4,0.27,0.24,0.27,0.24,0,0,0,0,0,0,2.8,2.8,0,3
2018,D5-0,light,mesic oldgrowth,D5,D5-0,D5,0,,6,Cw,3,0.064,0.222,0.222,0.064,0,0,0,0,1.1,0,1.1,8.2,1,2
2018,B5-4,light,mesic mature,B5,B5-4,B5,4,,3,Ep,4,0.12,0.148,0.148,0.12,0,0,0,0,1.2,0,1.2,2.4,3,3
2018,B2-0-O,heavy,subhygric mature,B2,B2-0,B2 O,0,O,5,U,3,0.26,0.55,0.55,0.26,32,0,32,0,1,0,1,10.7,0,2
2018,B1-4,noharvest,submesic mature,B1,B1-4,B1,4,,22,Hw,3,0.12,0.236,0.236,0.12,0,0,0,0,5.3,0,5.3,16.9,1,3
2018,A3-0,clearcut,subhygric mature,A3,A3-0,A3,0,,8,Ep,4,0.18,0.114,0.18,0.114,0,0,0,0,8.2,0,8.2,12.2,3,3
2018,B3-4-M,heavy,submesic mature,B3,B3-4,B3 M,4,M,14,Hw,4,0.295,0.15,0.295,0.15,0,0,0,0,9.3,12.7,3.4,14.4,0,3
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,31,U,3,0.19,0.127,0.19,0.127,0,0,0,0,0.8,0,0.8,1.6,0,3
2018,B2-0-M,heavy,subhygric mature,B2,B2-0,B2 M,0,M,21,Hw,3,0.208,0.18,0.208,0.18,10,0,10,0,0,0,5,5,1,2
2018,C1-3,noharvest,mesic mature,C1,C1-3,C1,3,,6,Ep,4,0.266,0.21,0.266,0.21,0,0,0,0,3.3,0,3.3,9,3,3
2018,D5-0,light,mesic oldgrowth,D5,D5-0,D5,0,,7,Cw,3,0.27,0.19,0.27,0.19,0,0,0,0,5,0,5,11.2,1,3
2018,D5-0,light,mesic oldgrowth,D5,D5-0,D5,0,,9,U,3,0.027,0.106,0.106,0.027,0,0,0,0,0.3,6.6,6.3,9.2,0,2
2018,D5-1,light,mesic oldgrowth,D5,D5-1,D5,1,,1,Hw,3,0.203,0.44,0.44,0.203,25,0,25,0,5.6,0,5.6,29,2,3
2018,C2-1-O,heavy,mesic mature,C2,C2-1,C2 O,1,O,5,U,4,0.094,0.115,0.115,0.094,0,0,0,0,0,0,17.4,17.4,0,3
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,16,At,4,0.2,0.19,0.2,0.19,0,0,0,0,0,0,1.2,1.2,3,1
2018,B2-4-O,heavy,subhygric mature,B2,B2-4,B2 O,4,O,19,Bl,1,0.38,0.06,0.38,0.06,90,0,90,0,19.1,21.7,2.6,33,3,1
