Unit,Gd Pt,radius,Spp,DBH,DBH 22,Class,CLASS 22,Comments,COMMENTS 22
B3,H250,2.52,Cw,4.5,4.7,,1,,
B3,I200,2.52,Hw,7.4,8.7,,1,,
B3,J300,3.99,Cw,,5.4,,1,,
B3,J200,2.52,Cw,,5.3,,2,,
B3,K050,2.52,Hw,,5.5,,2,,
B3,L000,0.8,Hw,,5.6,,1,,
B4,B050,2.52,Pl,4.5,4.5,,1,,
B4,B050,2.52,Pl,4.6,4.6,,1,,
B4,B050,2.52,Pl,,4.4,,1,,
B4,B150,1.78,Cw,,4.3,,1,,
B4,B150,1.78,Cw,,4.6,,1,,
B4,C100,2.52,Bl,,4.2,,1,,
B4,C100,2.52,Sx,,9.5,,1,,
B4,C100,2.52,Sx,,7.8,,1,,
B4,C250,1.26,At,4.1,5.0,,1,,
B4,C250,1.26,Cw,4.1,5.2,,1,,
B4,D200,1.78,Cw,8.1,9.2,,2,,
B4,D200,1.78,Cw,8.9,,,,,now tree #928
B4,E050,2.52,Hw,5.7,6.6,1,1,,
B4,E050,2.52,Hw,6.0,7.2,1,1,,
B4,E050,2.52,Sx,,7.4,,1,,
B4,E150,2.52,Hw,8.2,,,,,now tree #544
B4,E250,2.52,Cw,6.1,7.0,,1,,
B4,E250,2.52,Hw,,7.6,,1,,
B4,E250,2.52,Cw,6.9,8.5,,1,,spp
B4,E250,2.52,Cw,9.1,8.4,,1,,Spp
B4,E250,2.52,Hw,,5.3,,1,,
B4,F000,1.26,Hw,5.0,5.9,1,1,,
B4,F100,2.52,Cw,5.3,6.1,2,2,Broken Top,
B4,F100,2.52,Sx,5.2,4.8,1,1,,
B4,F200,2.52,Bl,5.0,5.1,,1,,
B4,F300,1.78,Hw,,9.5,,1,,
B4,F300,1.78,Hw,,8.7,,1,,
B4,G100,1.78,Hw,5.5,6.0,,1,,
B4,G100,1.78,Hw,6.7,7.1,,1,,
B4,G100,1.78,Cw,,7.8,,1,,
B4,G100,1.78,Sx,,7.4,,1,,
B4,G100,1.78,Hw,,6.1,,1,,
B4,G100,1.78,Hw,,4.9,,1,,
B4,G200,1.78,Ep,,4.6,,1,,
B4,G300,1.78,Hw,,9.8,,1,,
